Weight Class,Rank,Wrestler Name,Year and Record,Team,Team Rank
149,#29,"Petersen, Maxwell",SO |  0 - 0,#76 North Dakota State,76 North Dakota State
149,#30,"Solomon, Finn",SO |  0 - 0,#20 Pittsburgh,20 Pittsburgh
149,#31,"Stonecheck, Nicholas",SR |  0 - 0,#45 Lock Haven,45 Lock Haven
149,#32,"McDaniel, Trae",JR |  0 - 0,#27 Army West Point,27 Army West Point
149,#33,"Roberts, Drew",JR |  0 - 0,#13 Minnesota,13 Minnesota
157,#1,"Haines, Levi",JR |  0 - 0,#1 Penn State,1 Penn State
157,#2,"Shapiro, Meyer",SO |  0 - 0,#10 Cornell,10 Cornell
157,#3,"Cardenas, Daniel",JR |  0 - 0,#16 Stanford,16 Stanford
157,#4,"Kellar, Peyten",JR |  0 - 0,#42 Ohio,42 Ohio
157,#5,"Downey, Ryder",SO |  0 - 0,#7 Northern Iowa,7 Northern Iowa
157,#6,"Scott, Ed",SR |  0 - 0,#5 NC State,5 NC State
157,#7,"Swensen, Cael",JR |  0 - 0,#22 South Dakota State,22 South Dakota State
157,#8,"Taylor, Antrell",SO |  0 - 0,#6 Nebraska,6 Nebraska
157,#9,"Askey, Tommy",JR |  0 - 0,#13 Minnesota,13 Minnesota
157,#10,"Travis, Teague",JR |  0 - 0,#2 Oklahoma State,2 Oklahoma State
157,#11,"Lovett, Johnny",SR |  0 - 0,#38 Central Michigan,38 Central Michigan
157,#12,"Johnson, Paniro",SO |  0 - 0,#15 Iowa State,15 Iowa State
157,#13,"Zerban, Vince",JR |  0 - 0,#47 Northern Colorado,47 Northern Colorado
157,#14,"Saldate, Chase",SR |  0 - 0,#11 Michigan,11 Michigan
157,#15,"Blaze, Joey",SO |  0 - 0,#30 Purdue,30 Purdue
157,#16,"Chumbley, Trevor",SR |  0 - 0,#37 Northwestern,37 Northwestern
157,#17,"Gilcher, Derek",SR |  0 - 0,#29 Indiana,29 Indiana
157,#18,"Steed, Cameron",SO |  0 - 0,#8 Missouri,8 Missouri
157,#19,"Wilcox, Isaac",SR |  0 - 0,#3 Ohio State,3 Ohio State
157,#20,"Swisher, Jude",SO |  0 - 0,#28 Pennsylvania,28 Pennsylvania
157,#21,"Brignola, Max",SR |  0 - 0,#9 Lehigh,9 Lehigh
157,#22,"Santiago, Sonny",SR |  0 - 0,#19 North Carolina,19 North Carolina
157,#23,"Siebrecht, Cobe",SR |  0 - 0,#4 Iowa,4 Iowa
157,#24,"McGee, DJ",SO |  0 - 0,#40 George Mason,40 George Mason
157,#25,"Lamer, Legend",SR |  0 - 0,#32 Cal Poly,32 Cal Poly
157,#26,"Nichter, Luke",JR |  0 - 0,#43 Drexel,43 Drexel
157,#27,"Hipolito, Rafael",FR |  0 - 0,#12 Virginia Tech,12 Virginia Tech
157,#28,"Washleski, Colton",JR |  0 - 0,#39 Rider,39 Rider
157,#29,"Dowling, Caleb",JR |  0 - 0,#18 West Virginia,18 West Virginia
157,#30,"Saito, Blake",SR |  0 - 0,#56 Brown,56 Brown
157,#31,"Bianchi, Matt",JR |  0 - 0,#26 Little Rock,26 Little Rock
157,#32,"Stampoulos, Nick",SO |  0 - 0,#45 Lock Haven,45 Lock Haven
157,#33,"Alvan, Cesar",JR |  0 - 0,#50 Columbia,50 Columbia
165,#1,"Mesenbrink, Mitchell",SO |  0 - 0,#1 Penn State,1 Penn State
165,#2,"Caliendo, Michael",JR |  0 - 0,#4 Iowa,4 Iowa
165,#3,"Teemer, Jacori",SR |  0 - 0,#23 Arizona State,23 Arizona State
165,#4,"Ramirez, Julian",SR |  0 - 0,#10 Cornell,10 Cornell
165,#5,"Hall, Peyton",SR |  0 - 0,#18 West Virginia,18 West Virginia
165,#6,"Garvin, Hunter",SO |  0 - 0,#16 Stanford,16 Stanford
165,#7,"Mantanona, Beau",FR |  0 - 0,#11 Michigan,11 Michigan
165,#8,"Fish, Caleb",SR |  0 - 0,#2 Oklahoma State,2 Oklahoma State
165,#9,"Thompson, Garrett",JR |  0 - 0,#42 Ohio,42 Ohio
165,#10,"Cassella, Brevin",SR |  0 - 0,#55 Binghamton,55 Binghamton
165,#11,"Lillard, Tyler",SO |  0 - 0,#29 Indiana,29 Indiana
165,#12,"Bianchi, Joseph",SR |  0 - 0,#26 Little Rock,26 Little Rock
165,#13,"Miller, Will",JR |  0 - 0,#36 Appalachian State,36 Appalachian State
165,#14,"Baker, Domonic",JR |  0 - 0,#24 Campbell,24 Campbell
165,#15,"Mayfield, Maxx",SR |  0 - 0,#37 Northwestern,37 Northwestern
165,#16,"Maag, Evan",SO |  0 - 0,#40 George Mason,40 George Mason
165,#17,"Hepner, Bryce",JR |  0 - 0,#3 Ohio State,3 Ohio State
